# TIME (S)   X_POS (M)   Y_POS (M)
   3.55999708       50.3462219       4.46204567    
   3.56999707       50.4876442       4.49528933    
   3.57999706       50.6290665       4.52755165    
   3.58999705       50.7704887       4.55883312    
   3.59999704       50.9119110       4.58913374    
   3.60999703       51.0533333       4.61845303    
   3.61999702       51.1947556       4.64679146    
   3.62999701       51.3361778       4.67414904    
   3.63999701       51.4776001       4.70052576    
   3.64999700       51.6190224       4.72592115    
   3.65999699       51.7604446       4.75033569    
   3.66999698       51.9018669       4.77376938    
   3.67999697       52.0432892       4.79622173    
   3.68999696       52.1847115       4.81769323    
   3.69999695       52.3261337       4.83818388    
   3.70999694       52.4675560       4.85769320    
   3.71999693       52.6089783       4.87622166    
   3.72999692       52.7504005       4.89376926    
   3.73999691       52.8918228       4.91033554    
   3.74999690       53.0332451       4.92592096    
   3.75999689       53.1746674       4.94052553    
   3.76999688       53.3160896       4.95414925    
   3.77999687       53.4575119       4.96679163    
   3.78999686       53.5989342       4.97845316    
   3.79999685       53.7403564       4.98913383    
   3.80999684       53.8817787       4.99883318    
   3.81999683       54.0232010       5.00755167    
   3.82999682       54.1646233       5.01528931    
   3.83999681       54.3060455       5.02204561    
   3.84999681       54.4474678       5.02782106    
   3.85999680       54.5888901       5.03261566    
   3.86999679       54.7303123       5.03642941    
   3.87999678       54.8717346       5.03926182    
   3.88999677       55.0131569       5.04111338    
   3.89999676       55.1545792       5.04198408    
   3.90999675       55.2960014       5.04187346    
   3.91999674       55.4374237       5.04078197    
   3.92999673       55.5788460       5.03870964    
   3.93999672       55.7202682       5.03565598    
   3.94999671       55.8616905       5.03162146    
   3.95999670       56.0031128       5.02660608    
   3.96999669       56.1445351       5.02060938    
   3.97999668       56.2859573       5.01363182    
   3.98999667       56.4273796       5.00567341    
   3.99999666       56.5688019       4.99673414    
   4.00999689       56.7102242       4.98681355    
   4.01999712       56.8516464       4.97591209    
   4.02999735       56.9930687       4.96402979    
   4.03999758       57.1344910       4.95116615    
   4.04999781       57.2759132       4.93732166    
   4.05999804       57.4173355       4.92249632    
   4.06999826       57.5587578       4.90668964    
   4.07999849       57.7001801       4.88990211    
   4.08999872       57.8416023       4.87213373    
   4.09999895       57.9830246       4.85338402    
   4.10999918       58.1244469       4.83365345    
   4.11999941       58.2658691       4.81294203    
   4.12999964       58.4072914       4.79124975    
   4.13999987       58.5487137       4.76857615    
   4.15000010       58.6901360       4.74492168    
   4.16000032       58.8315582       4.72028637    
   4.17000055       58.9729805       4.69466972    
   4.18000078       59.1144028       4.66807222    
   4.19000101       59.2558250       4.64049387    
   4.20000124       59.3972473       4.61193419    
   4.21000147       59.5386696       4.58239365    
   4.22000170       59.6800919       4.55187225    
   4.23000193       59.8215141       4.52037001    
   4.24000216       59.9629364       4.48788643    
   4.25000238       60.1043587       4.45442200    
   4.26000261       60.2457809       4.41997671    
   4.27000284       60.3872032       4.38455009    
   4.28000307       60.5286255       4.34814262    
   4.29000330       60.6700478       4.31075430    
   4.30000353       60.8114700       4.27238464    
   4.31000376       60.9528923       4.23303413    
   4.32000399       61.0943146       4.19270277    
   4.33000422       61.2357368       4.15139008    
   4.34000444       61.3771591       4.10909653    
   4.35000467       61.5185814       4.06582212    
   4.36000490       61.6600037       4.02156687    
   4.37000513       61.8014259       3.97633052    
   4.38000536       61.9428482       3.93011332    
   4.39000559       62.0842705       3.88291502    
   4.40000582       62.2256927       3.83473587    
   4.41000605       62.3671150       3.78557563    
   4.42000628       62.5085373       3.73543429    
   4.43000650       62.6499596       3.68431211    
   4.44000673       62.7913818       3.63220882    
   4.45000696       62.9328041       3.57912469    
   4.46000719       63.0742264       3.52505946    
   4.47000742       63.2156487       3.47001314    
   4.48000765       63.3570709       3.41398597    
   4.49000788       63.4984932       3.35697770    
   4.50000811       63.6399155       3.29898834    
   4.51000834       63.7813377       3.24001813    
   4.52000856       63.9227600       3.18006682    
   4.53000879       64.0641785       3.11913466    
   4.54000902       64.2055969       3.05722141    
   4.55000925       64.3470154       2.99432707    
   4.56000948       64.4884338       2.93045187    
   4.57000971       64.6298523       2.86559558    
   4.58000994       64.7712708       2.79975820    
   4.59001017       64.9126892       2.73293996    
   4.60001040       65.0541077       2.66514063    
   4.61001062       65.1955261       2.59636045    
   4.62001085       65.3369446       2.52659917    
   4.63001108       65.4783630       2.45585680    
   4.64001131       65.6197815       2.38413358    
   4.65001154       65.7612000       2.31142926    
   4.66001177       65.9026184       2.23774409    
   4.67001200       66.0440369       2.16307783    
   4.68001223       66.1854553       2.08743048    
   4.69001245       66.3268738       2.01080227    
   4.70001268       66.4682922       1.93319285    
   4.71001291       66.6097107       1.85460246    
   4.72001314       66.7511292       1.77503109    
   4.73001337       66.8925476       1.69447863    
   4.74001360       67.0339661       1.61294520    
   4.75001383       67.1753845       1.53043079    
   4.76001406       67.3168030       1.44693542    
   4.77001429       67.4582214       1.36245906    
   4.78001451       67.5996399       1.27700162    
   4.79001474       67.7410583       1.19056320    
   4.80001497       67.8824768       1.10314381    
   4.81001520       68.0238953       1.01474345    
   4.82001543       68.1653137      0.925362110    
   4.83001566       68.3067322      0.834999800    
   4.84001589       68.4481506      0.743656456    
   4.85001612       68.5895691      0.651332140    
   4.86001635       68.7309875      0.558026850    
   4.87001657       68.8724060      0.463740528    
   4.88001680       69.0138245      0.368473202    
   4.89001703       69.1552429      0.272224903    
   4.90001726       69.2966614      0.174995586    
   4.91001749       69.4380798       7.67852664E-02
   4.92001772       69.5794983       0.00000000    
   4.93001795       69.7209167       6.92867637E-02
   4.94001818       69.8623352      0.137592539    
   4.95001841       70.0037537      0.204917297    
   4.96001863       70.1451721      0.271261066    
   4.97001886       70.2865906      0.336623847    
   4.98001909       70.4280090      0.401005626    
   4.99001932       70.5694275      0.464406401    
   5.00001955       70.7108459      0.526826143    
   5.01001978       70.8522644      0.588264883    
   5.02002001       70.9936829      0.648722649    
   5.03002024       71.1351013      0.708199441    
   5.04002047       71.2765198      0.766695201    
   5.05002069       71.4179382      0.824209988    
   5.06002092       71.5593567      0.880743742    
   5.07002115       71.7007751      0.936296523    
   5.08002138       71.8421936      0.990868270    
   5.09002161       71.9836121       1.04445899    
   5.10002184       72.1250305       1.09706867    
   5.11002207       72.2664490       1.14869738    
   5.12002230       72.4078674       1.19934511    
   5.13002253       72.5492859       1.24901175    
   5.14002275       72.6907043       1.29769742    
   5.15002298       72.8321228       1.34540212    
   5.16002321       72.9735413       1.39212584    
   5.17002344       73.1149597       1.43786848    
   5.18002367       73.2563782       1.48263013    
   5.19002390       73.3977966       1.52641082    
   5.20002413       73.5392151       1.56921053    
   5.21002436       73.6806335       1.61102915    
   5.22002459       73.8220520       1.65186679    
   5.23002481       73.9634705       1.69172347    
   5.24002504       74.1048889       1.73059916    
   5.25002527       74.2463074       1.76849377    
   5.26002550       74.3877258       1.80540740    
   5.27002573       74.5291443       1.84134007    
   5.28002596       74.6705627       1.87629175    
   5.29002619       74.8119812       1.91026247    
   5.30002642       74.9533997       1.94325209    
   5.31002665       75.0948181       1.97526073    
   5.32002687       75.2362366       2.00628853    
   5.33002710       75.3776550       2.03633523    
   5.34002733       75.5190735       2.06540108    
   5.35002756       75.6604919       2.09348583    
   5.36002779       75.8019104       2.12058973    
   5.37002802       75.9433289       2.14671254    
   5.38002825       76.0847473       2.17185426    
   5.39002848       76.2261658       2.19601512    
   5.40002871       76.3675842       2.21919489    
   5.41002893       76.5090027       2.24139380    
   5.42002916       76.6504211       2.26261163    
   5.43002939       76.7918396       2.28284836    
   5.44002962       76.9332581       2.30210423    
   5.45002985       77.0746765       2.32037902    
   5.46003008       77.2160950       2.33767271    
   5.47003031       77.3575134       2.35398555    
   5.48003054       77.4989319       2.36931729    
   5.49003077       77.6403503       2.38366818    
   5.50003099       77.7817688       2.39703798    
   5.51003122       77.9231873       2.40942669    
   5.52003145       78.0646057       2.42083454    
   5.53003168       78.2060242       2.43126130    
   5.54003191       78.3474426       2.44070721    
   5.55003214       78.4888611       2.44917202    
   5.56003237       78.6302795       2.45665574    
   5.57003260       78.7716980       2.46315861    
   5.58003283       78.9131165       2.46868038    
   5.59003305       79.0545349       2.47322130    
   5.60003328       79.1959534       2.47678113    
   5.61003351       79.3373718       2.47935987    
   5.62003374       79.4787903       2.48095775    
   5.63003397       79.6202087       2.48157454    
   5.64003420       79.7616272       2.48121023    
   5.65003443       79.9030457       2.47986507    
   5.66003466       80.0444641       2.47753882    
   5.67003489       80.1858826       2.47423172    
   5.68003511       80.3273010       2.46994352    
   5.69003534       80.4687195       2.46467423    
   5.70003557       80.6101379       2.45842409    
   5.71003580       80.7515564       2.45119286    
   5.72003603       80.8929749       2.44298077    
   5.73003626       81.0343933       2.43378758    
   5.74003649       81.1758118       2.42361331    
   5.75003672       81.3172302       2.41245818    
   5.76003695       81.4586487       2.40032196    
   5.77003717       81.6000671       2.38720465    
   5.78003740       81.7414856       2.37310648    
   5.79003763       81.8829041       2.35802722    
   5.80003786       82.0243225       2.34196711    
   5.81003809       82.1657410       2.32492590    
   5.82003832       82.3071594       2.30690360    
   5.83003855       82.4485779       2.28790045    
   5.84003878       82.5899963       2.26791620    
   5.85003901       82.7314148       2.24695110    
   5.86003923       82.8728333       2.22500491    
   5.87003946       83.0142517       2.20207763    
   5.88003969       83.1556702       2.17816949    
   5.89003992       83.2970886       2.15328026    
   5.90004015       83.4385071       2.12741017    
   5.91004038       83.5799255       2.10055900    
   5.92004061       83.7213440       2.07272673    
   5.93004084       83.8627625       2.04391360    
   5.94004107       84.0041809       2.01411939    
   5.95004129       84.1455994       1.98334408    
   5.96004152       84.2870178       1.95158780    
   5.97004175       84.4284363       1.91885054    
   5.98004198       84.5698547       1.88513219    
   5.99004221       84.7112732       1.85043287    
   6.00004244       84.8526917       1.81475258    
   6.01004267       84.9941101       1.77809131    
   6.02004290       85.1355286       1.74044907    
   6.03004313       85.2769470       1.70182574    
   6.04004335       85.4183655       1.66222143    
   6.05004358       85.5597839       1.62163615    
   6.06004381       85.7012024       1.58006990    
   6.07004404       85.8426208       1.53752255    
   6.08004427       85.9840393       1.49399424    
   6.09004450       86.1254578       1.44948494    
   6.10004473       86.2668762       1.40399468    
   6.11004496       86.4082947       1.35752332    
   6.12004519       86.5497131       1.31007099    
   6.13004541       86.6911316       1.26163769    
   6.14004564       86.8325500       1.21222341    
   6.15004587       86.9739685       1.16182804    
   6.16004610       87.1153870       1.11045170    
   6.17004633       87.2568054       1.05809438    
   6.18004656       87.3982239       1.00475609    
