 RUNNING SIMULATION...
 T=   2.42999816     , X=   34.3655052     , Y=   5.40191269    
 T=   2.43999815     , X=   34.5069275     , Y=   5.30446053    
 T=   2.44999814     , X=   34.6483498     , Y=   5.20602751    
 T=   2.45999813     , X=   34.7897720     , Y=   5.10661316    
 T=   2.46999812     , X=   34.9311943     , Y=   5.00621796    
 T=   2.47999811     , X=   35.0726166     , Y=   4.90484190    
 T=   2.48999810     , X=   35.2140388     , Y=   4.80248451    
 T=   2.49999809     , X=   35.3554611     , Y=   4.69914627    
 T=   2.50999808     , X=   35.4968834     , Y=   4.59482718    
 T=   2.51999807     , X=   35.6383057     , Y=   4.48952723    
 T=   2.52999806     , X=   35.7797279     , Y=   4.38324594    
 T=   2.53999805     , X=   35.9211502     , Y=   4.27598381    
 T=   2.54999804     , X=   36.0625725     , Y=   4.16774082    
 T=   2.55999804     , X=   36.2039948     , Y=   4.05851650    
 T=   2.56999803     , X=   36.3454170     , Y=   3.94831157    
 T=   2.57999802     , X=   36.4868393     , Y=   3.83712554    
 T=   2.58999801     , X=   36.6282616     , Y=   3.72495866    
 T=   2.59999800     , X=   36.7696838     , Y=   3.61181068    
 T=   2.60999799     , X=   36.9111061     , Y=   3.49768186    
 T=   2.61999798     , X=   37.0525284     , Y=   3.38257194    
 T=   2.62999797     , X=   37.1939507     , Y=   3.26648092    
 T=   2.63999796     , X=   37.3353729     , Y=   3.14940906    
 T=   2.64999795     , X=   37.4767952     , Y=   3.03135610    
 T=   2.65999794     , X=   37.6182175     , Y=   2.91232228    
 T=   2.66999793     , X=   37.7596397     , Y=   2.79230738    
 T=   2.67999792     , X=   37.9010620     , Y=   2.67131138    
 T=   2.68999791     , X=   38.0424843     , Y=   2.54933453    
 T=   2.69999790     , X=   38.1839066     , Y=   2.42637658    
 T=   2.70999789     , X=   38.3253288     , Y=   2.30243778    
 T=   2.71999788     , X=   38.4667511     , Y=   2.17751789    
 T=   2.72999787     , X=   38.6081734     , Y=   2.05161691    
 T=   2.73999786     , X=   38.7495956     , Y=   1.92473495    
 T=   2.74999785     , X=   38.8910179     , Y=   1.79687202    
 T=   2.75999784     , X=   39.0324402     , Y=   1.66802800    
 T=   2.76999784     , X=   39.1738625     , Y=   1.53820300    
 T=   2.77999783     , X=   39.3152847     , Y=   1.40739703    
 T=   2.78999782     , X=   39.4567070     , Y=   1.27561009    
 T=   2.79999781     , X=   39.5981293     , Y=   1.14284217    
 T=   2.80999780     , X=   39.7395515     , Y=   1.00909317    
 T=   2.81999779     , X=   39.8809738     , Y=  0.874363244    
 T=   2.82999778     , X=   40.0223961     , Y=  0.738652349    
 T=   2.83999777     , X=   40.1638184     , Y=  0.601960480    
 T=   2.84999776     , X=   40.3052406     , Y=  0.464287579    
 T=   2.85999775     , X=   40.4466629     , Y=  0.325633675    
 T=   2.86999774     , X=   40.5880852     , Y=  0.185998768    
 T=   2.87999773     , X=   40.7295074     , Y=   4.53828573E-02
 T=   2.88999772     , X=   40.8709297     , Y=   0.00000000    
 T=   2.89999771     , X=   41.0123520     , Y=   9.89706814E-02
 T=   2.90999770     , X=   41.1537743     , Y=  0.196960375    
 T=   2.91999769     , X=   41.2951965     , Y=  0.293969065    
 T=   2.92999768     , X=   41.4366188     , Y=  0.389996767    
 T=   2.93999767     , X=   41.5780411     , Y=  0.485043466    
 T=   2.94999766     , X=   41.7194633     , Y=  0.579109192    
 T=   2.95999765     , X=   41.8608856     , Y=  0.672193885    
 T=   2.96999764     , X=   42.0023079     , Y=  0.764297605    
 T=   2.97999763     , X=   42.1437302     , Y=  0.855420291    
 T=   2.98999763     , X=   42.2851524     , Y=  0.945562005    
 T=   2.99999762     , X=   42.4265747     , Y=   1.03472269    
 T=   3.00999761     , X=   42.5679970     , Y=   1.12290239    
 T=   3.01999760     , X=   42.7094193     , Y=   1.21010101    
 T=   3.02999759     , X=   42.8508415     , Y=   1.29631865    
 T=   3.03999758     , X=   42.9922638     , Y=   1.38155532    
 T=   3.04999757     , X=   43.1336861     , Y=   1.46581101    
 T=   3.05999756     , X=   43.2751083     , Y=   1.54908574    
 T=   3.06999755     , X=   43.4165306     , Y=   1.63137937    
 T=   3.07999754     , X=   43.5579529     , Y=   1.71269202    
 T=   3.08999753     , X=   43.6993752     , Y=   1.79302371    
 T=   3.09999752     , X=   43.8407974     , Y=   1.87237442    
 T=   3.10999751     , X=   43.9822197     , Y=   1.95074415    
 T=   3.11999750     , X=   44.1236420     , Y=   2.02813292    
 T=   3.12999749     , X=   44.2650642     , Y=   2.10454082    
 T=   3.13999748     , X=   44.4064865     , Y=   2.17996764    
 T=   3.14999747     , X=   44.5479088     , Y=   2.25441337    
 T=   3.15999746     , X=   44.6893311     , Y=   2.32787824    
 T=   3.16999745     , X=   44.8307533     , Y=   2.40036201    
 T=   3.17999744     , X=   44.9721756     , Y=   2.47186470    
 T=   3.18999743     , X=   45.1135979     , Y=   2.54238653    
 T=   3.19999743     , X=   45.2550201     , Y=   2.61192727    
 T=   3.20999742     , X=   45.3964424     , Y=   2.68048716    
